file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogDisplayChart.java,com.scudata.ide.spl.dialog.DialogDisplayChart$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogDisplayChart.java,com.scudata.ide.spl.dialog.DialogDisplayChart$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogDisplayChart.java,com.scudata.ide.spl.dialog.DialogDisplayChart$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogDisplayChart.java,com.scudata.ide.spl.dialog.DialogDisplayChart$Anonymous7,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,1,0,0,0,0,2,0,2,1,0,0,0,13,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogDisplayChart.java,com.scudata.ide.spl.dialog.DialogDisplayChart$Anonymous6,anonymous,3,3,0,3,16,1,0,29,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84,3,1,5,3,0,9,5,26,1,15,3,0,0,0,40,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogDisplayChart.java,com.scudata.ide.spl.dialog.DialogDisplayChart$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExecCmd.java,com.scudata.ide.spl.dialog.DialogExecCmd$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExecCmd.java,com.scudata.ide.spl.dialog.DialogExecCmd$Anonymous4,anonymous,0,0,0,0,2,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,9,1,0,1,0,0,0,1,1,0,1,1,0,0,0,19,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExecCmd.java,com.scudata.ide.spl.dialog.DialogExecCmd$Anonymous1,anonymous,3,3,0,3,9,1,0,19,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,59,1,4,1,1,1,9,24,29,6,10,2,0,0,0,21,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\scudata\ide\spl\dialog\DialogExecCmd.java,com.scudata.ide.spl.dialog.DialogExecCmd$Anonymous2,anonymous,1,1,0,1,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,2,0,1,1,1,1,0,0,0,9,-1,0
