number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2910,2021-03-17T11:05:32Z,2021-03-17T17:25:30Z,2021-03-17T17:25:30Z,2,5,5,"Bumps stylelint-config-recommended from 3.0.0 to 4.0.0.

Release notes
Sourced from stylelint-config-recommended's releases.

4.0.0

Removed: stylelint less than 13.12.0 from peer dependencies.
Added: declaration-block-no-duplicate-custom-properties rule.
Added: named-grid-areas-no-invalid rule.




Changelog
Sourced from stylelint-config-recommended's changelog.

4.0.0

Removed: stylelint less than 13.12.0 from peer dependencies.
Added: declaration-block-no-duplicate-custom-properties rule.
Added: named-grid-areas-no-invalid rule.




Commits

ab9f778 4.0.0
d1b15d2 Prepare 4.0.0
554e298 Add two new possible error rules (#90)
0d3ac87 Bump is-ci from 2.0.0 to 3.0.0 (#89)
e9ce263 Bump stylelint from 13.7.2 to 13.11.0 (#87)
bd8d3b5 Update dependencies  (#88)
c0395eb Create Dependabot config file (#82)
733dab5 Bump lint-staged from 10.2.13 to 10.5.4 (#81)
64226a9 Bump eslint from 7.10.0 to 7.19.0 (#79)
a1857a4 [Security] Bump node-notifier from 8.0.0 to 8.0.1 (#78)
Additional commits viewable in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",2,0
2911,2021-03-17T11:05:48Z,,2021-03-17T14:49:45Z,2,6,1,"Bumps @types/node from 12.12.67 to 14.14.35.

Commits

See full diff in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",2,2
2912,2021-03-17T18:34:25Z,2021-03-17T21:25:23Z,2021-03-17T21:25:23Z,1,1,7,"This PR updates the Hiring section in the README.md. H/T to @jawnsy for flagging this.

Click here to see a full preview.
cc @cami333
Related:

#2906 (comment)",3,0
2916,2021-03-17T19:36:20Z,2021-03-18T21:31:59Z,2021-03-18T21:31:59Z,1,17,17,"Bumps @types/express from 4.17.8 to 4.17.11.

Commits

See full diff in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",2,2
2918,2021-03-17T19:36:42Z,2021-03-18T21:31:23Z,2021-03-18T21:31:23Z,3,5,13,"Bumps eslint-config-prettier from 6.12.0 to 8.1.0.

Changelog
Sourced from eslint-config-prettier's changelog.

Version 8.1.0 (2021-02-24)

Added: [flowtype/object-type-curly-spacing].
Added: Dummy files for the configs removed in 8.0.0. The dummy files throw an error that try to guide you how to upgrade.

Version 8.0.0 (2021-02-21)


Changed: All configs have been merged into one!
To upgrade, change:
{
  ""extends"": [
    ""some-other-config-you-use"",
    ""prettier"",
    ""prettier/@typescript-eslint"",
    ""prettier/babel"",
    ""prettier/flowtype"",
    ""prettier/react"",
    ""prettier/standard"",
    ""prettier/unicorn"",
    ""prettier/vue""
  ]
}
Into:

{
  ""extends"": [
    ""some-other-config-you-use"",
    ""prettier""
  ]
}
The ""prettier"" config now includes not just ESLint core rules, but also rules from all plugins. Much simpler!
So … what’s the catch? Why haven’t we done this earlier? Turns out it’s just a sad mistake. I (@​lydell) was confused when testing, and thought that turning off unknown rules in a config was an error. Thanks to Georgii Dolzhykov (@​thorn0) for pointing this out!
If you use [eslint-plugin-prettier], all you need is [plugin:prettier/recommended]:

{
  ""extends"": [
    ""some-other-config-you-use"",




... (truncated)


Commits

d6c4297 eslint-config-prettier v8.1.0
4e00e6d Add dummy legacy configs
abf3ba1 Update npm packages and add flowtype/object-type-curly-spacing
0fd5734 Try to clarify eslint-plugin-prettier
0dd2a7e eslint-config-prettier v8.0.0
03c79b9 One config to rule them all (#175)
72ce4d7 Update npm packages
aca15b5 eslint-config-prettier v7.2.0
5a0c4a9 Update npm packages and add new rules
6b4625e Bump node-notifier from 8.0.0 to 8.0.1 (#170)
Additional commits viewable in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",2,0
2919,2021-03-17T19:37:10Z,2021-03-18T21:30:42Z,2021-03-18T21:30:42Z,1,9,3,"Bumps ts-node from 9.0.0 to 9.1.1.

Release notes
Sourced from ts-node's releases.

v9.1.1
No code changes.  We re-packed and republished v9.1.1, because the v9.1.0 package was broken due to an npm v7 bug.
Fixes

Published tarball had extra slashes in the paths of dist files.  #1172

v9.1.0
Added

Expose ts-node REPL via the API (#1121) @​MarcManiez
Allow --typeCheck flag to override --transpileOnly flag specified in tsconfig.json (#1142)

Changed

Rename interface Register to Service. It is still aliased as Register for backwards compatibility (#1158)
Update code copied from node's ESM resolver to be the latest from node 15, to keep our ESM resolver's behavior as close as possible to vanilla node (#1167)

Fixed

ESM resolver will preserve search portion of URL, used for cache busting (#1165) @​frandiox
Fix ESM resolution of builtin modules on node >=14.13.1 (#1136)
Recognize --es-module-specifier-resolution as an alias of --experimental-specifier-resolution for node 12 compatibility (#1122) @​nguyensomniac

Docs

Fix description of ts-node-dev in README (#1131) @​iamandrewluca
Update transformers description to clarify incompatibility with transpileOnly (#1123)

Misc

Changes to test matrix: Test against node 15; drop node 13 tests; remove 12.16 in favor of latest 12.x.x (#1138, #1148)
Improve codecov rules to remove misleading test failures (#1159)

TypeStrong/ts-node@v9.0.0...v9.1.0



Commits

d2ccc5c 9.1.1
8b05af7 9.1.0
657de4a Make ts-node eval public for node REPL consumption (#1121)
ded513d Remove node 13 tests; change 12.16 to latest 12.x.x (#1148)
286c294 Rename Register to Service; re-export as Register for backwards… (#1158)
c4a6a02 Update to latest copy-paste of node's ESM resolve implementation (#1167)
c11aa8a Fix: Keep search in resolveReplacementExtensions (#1165)
a7aa0af Switch from bundled createRequire shim to npm ""create-require"" (#1156)
8b9489a tweak codecov minimum coverage rules (#1159)
c0a1598 Upgrade to TS 4.1 (#1157)
Additional commits viewable in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",2,0
2922,2021-03-17T22:37:11Z,2021-03-23T19:44:26Z,2021-03-23T19:44:27Z,3,85,2,"This adds a new option to the Application Menu called Log out. It deletes the code-server cookie and logs a user out.
Screenshot

TODOs

 use vscode logger
 refactor Cookie to be in lib/vscode so we can use it
 write e2e test
 refactor Cookie and don't share between lib/vscode

Fixes #778",5,7
2925,2021-03-18T05:46:39Z,2021-03-22T21:15:06Z,2021-03-22T21:15:06Z,1,2,1,"See related issue #2924.

Installs zsh when building the Docker release image.
Updatesfixuid to latest version 0.5.",3,1
2926,2021-03-18T11:03:40Z,2021-03-18T21:29:15Z,2021-03-18T21:29:15Z,1,3,3,"Bumps @types/parcel-bundler from 1.12.1 to 1.12.3.

Commits

See full diff in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",2,0
2946,2021-03-23T11:03:14Z,2021-03-23T16:32:32Z,2021-03-23T16:32:32Z,1,3,3,"Bumps semver from 7.3.4 to 7.3.5.

Commits

e79ac3a 7.3.5
0ce87d6 Correctly handle prereleases/ANY ranges in subset
15ed208 fix(subset): check any as superset
See full diff in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting @dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR:

@dependabot rebase will rebase this PR
@dependabot recreate will recreate this PR, overwriting any edits that have been made to it
@dependabot merge will merge this PR after your CI passes on it
@dependabot squash and merge will squash and merge this PR after your CI passes on it
@dependabot cancel merge will cancel a previously requested merge and block automerging
@dependabot reopen will reopen this PR if it is closed
@dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
@dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
@dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)",1,0
