number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2221,2019-02-17T13:33:06Z,2019-02-24T04:47:08Z,2019-02-24T04:47:08Z,1,2,2,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Fixed condition for useProxy. ""=="" instead od ""="".",2,1
2274,2019-03-15T22:22:52Z,,2019-10-06T07:29:50Z,1,2,3,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Replaced ContainsKey and getting value by key with TryGetValue in order to improve perfomance.",4,3
2301,2019-04-02T09:22:13Z,2019-04-07T13:58:55Z,2019-04-07T13:58:55Z,4,47,28,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
This is kind of implement for issue 2266, but a bit different.
Current context menu

Enable system proxy
Mode

PAC
Global



Enhanced context menu

Proxy

Disable
PAC
Global
...



System proxy config will be switched between these three status.",2,0
2377,2019-06-04T08:09:47Z,2019-06-08T06:36:53Z,2019-06-08T06:36:53Z,2,19,3,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Fixed issue described in #2371 and checked for potential errors.
😄
Explanation of your pull request in arbitrary form goes here. Please make sure the description explains the purpose and effect of your pull request and is worded well enough to be understood. Provide as much context and examples as possible.",3,3
2379,2019-06-04T09:31:08Z,2019-07-06T13:32:17Z,2019-07-06T13:32:17Z,3,78,2,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Support Windows 10 1903 light theme. (Menu icon color adaptive, previous version icons are indistinguishable at light theme)
Icon more beautiful. (use alpha replace 128 gray)
支持 Windows10 1903 的“亮”主题色。（菜单图标颜色自适应，之前版本图标会在亮色主题下难以看见）
图标更加美观。（使用Alpha通道替换128灰色）
Explanation of your pull request in arbitrary form goes here. Please make sure the description explains the purpose and effect of your pull request and is worded well enough to be understood. Provide as much context and examples as possible.",3,2
2402,2019-06-11T05:46:14Z,,2020-10-10T05:26:18Z,7,241,12,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
If a domain name has more than 1 IP in DNS, rotate the returned IP list to pick up different IP.
Add DNS Load Balance and test available ip address for Server Domain if Server domain name have multiple IP resolved.",3,7
2410,2019-06-15T13:47:25Z,2019-06-25T13:05:32Z,2019-06-25T13:05:32Z,8,388,231,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Fix #1907
Still need further testing.
😀
Explanation of your pull request in arbitrary form goes here. Please make sure the description explains the purpose and effect of your pull request and is worded well enough to be understood. Provide as much context and examples as possible.",2,2
2469,2019-07-17T04:31:03Z,,2019-12-13T06:31:56Z,7,482,378,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
add server list group feature at system tray icon context menu",2,2
2485,2019-07-23T01:05:03Z,,2019-11-15T04:44:34Z,9,135,43,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio ( with ""version"": ""4.1.8.0"")


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
add ip whitelist pac. (添加 IP 白名单 模式)",1,1
2583,2019-09-27T17:12:46Z,,2019-11-25T09:25:38Z,1,28,1,"添加“统计配置”的中文翻译（行70-95）。
Add ""Chinese simplification"" of Statistics Config (Line 70-95).
Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Explanation of your pull request in arbitrary form goes here. Please make sure the description explains the purpose and effect of your pull request and is worded well enough to be understood. Provide as much context and examples as possible.",4,4
