reviews,num_arquivos,num_linhas_adicionadas,num_linhas_deletadas,tempo_analise,num_caracteres_descricao,num_participantes,num_comentarios,was_merged
12,2,1923,2020,78495,536,8,11,True
2,2,1678,1,51028,51,3,4,True
3,1,2001,0,36305,0,12,9,True
1,1,15,15,68362,18,3,0,True
3,1,37,38,4361,67,6,9,False
1,1,3,239,47809,0,3,1,False
9,1,1940,0,82676,75,3,5,True
1,1,18,18,78652,0,3,2,True
2,1,24,24,82653,29,4,0,False
1,1,21,22,51603,102,3,2,True
1,1,20,17,13202,71,4,4,True
1,1,45,0,22556,28,4,1,True
1,1,1,1,63497,68,3,1,True
1,1,1,1,11677,95,3,1,True
1,1,103,102,67024,184,3,1,True
1,1,31,31,68203,107,3,2,True
1,1,3,2,60446,0,2,1,True
4,1,2,2,37261,40,2,0,False
2,0,0,0,23734,0,4,2,True
2,1,3,3,59385,92,2,2,True
1,13,13,13,66742,101,4,1,True
7,1,2094,0,11860,41,3,5,True
3,1,0,6,78581,18,2,2,True
1,1,0,0,41724,118,3,1,True
2,2,1201,1208,13014,319,2,2,True
3,1,1978,0,64735,27,4,3,True
1,1,1,1,58022,0,3,0,True
3,1,3,0,11091,109,5,1,False
2,1,1,1,29089,24,5,2,True
1,1,1,1,39304,0,4,3,False
3,1,3,0,37336,53,4,2,True
1,1,114,114,27565,85,3,4,True
1,1,1,0,51744,165,3,1,False
1,16,0,15,55989,207,3,1,True
2,1,5,0,58710,77,3,2,True
1,1,1992,0,4446,24,3,1,True
1,1,1,1,6199,0,3,1,False
1,1,7,7,16001,0,4,1,False
1,1,2,1,73187,72,2,1,True
1,1,8,0,33464,170,2,1,False
1,1,3,1,50480,63,3,2,False
1,1,4,0,57378,133,2,1,False
1,1,1,1,20167,8,2,2,False
1,1,5,0,45000,173,2,3,True
1,1,2,0,64867,0,3,1,True
1,1,27,23,81723,147,2,1,False
2,2,79,86,54930,189,2,3,True
7,1,1988,0,77657,76,3,6,True
1,1,4,4,45845,0,3,1,False
1,1,2,2,82826,0,2,3,True
2,1,316,352,22074,154,2,3,True
1,1,26,26,43683,72,2,1,True
2,2,1,1,23143,54,3,7,True
2,1,1,1,12922,169,2,2,True
2,2,1408,0,83118,36,2,12,True
1,1,3,1,27313,0,2,0,False
5,1,20,22,50821,0,2,1,True
3,1,5,5,47358,0,2,1,True
1,1,1776,1550,70500,290,2,3,True
2,25,47,25,61581,0,3,3,True
1,1,7,4,15931,0,3,2,False
1,0,0,0,12220,53,2,3,True
1,1,1,0,54989,135,2,2,True
2,1,2,1,41153,67,2,1,True
1,1,10,10,28191,0,3,1,False
1,1,1,0,28026,249,3,1,True
1,27,27,27,28907,77,3,0,True
1,1,1247,1128,39610,161,3,1,False
1,1,0,1,73567,0,3,1,True
1,2,2,2,56489,120,4,2,False
1,2,2,4,24444,348,5,5,True
1,1,3487,1,82500,0,2,0,False
1,1,1,1,67093,47,2,0,True
1,1,1,1,33686,37,3,1,False
1,2,5460,5460,32257,60,3,2,True
3,2,1,1,26471,132,3,1,False
3,11,48,22,30949,283,6,5,False
3,3,4,2,22890,246,6,3,False
2,2,1,1,76560,75,4,1,False
1,1,2,2,69796,140,2,0,True
1,6,10,10,55518,685,3,1,False
2,2,11959,0,27135,174,2,2,True
1,2,11487,0,3842,760,2,0,True
1,10,38196,0,8278,955,3,3,True
1,5,12405,0,14249,794,2,0,True
1,2,11910,11813,5678,727,3,4,True
1,3,14384,1,51526,685,2,0,True
1,1,2,2,15788,618,3,1,True
1,10,39264,0,36919,889,2,3,True
6,133,480660,54,42080,658,29,3,False
2,2,1947,1891,34552,698,4,1,False
1,12,40982,0,62634,737,2,2,True
1,3,12307,1,6016,709,2,2,True
1,2,3,3,41996,874,3,2,True
1,11,39465,11811,63125,733,2,0,True
14,2,2,2,61230,654,17,5,False
1,150,552294,55,10085,915,32,1,False
1,10,39188,0,48990,707,3,2,True
1,1,0,0,72291,666,2,0,True
2,159,591466,55,69447,723,33,1,False
2,10,38816,2,4099,824,3,1,True
1,1,1,0,14169,654,3,0,False
6,1,54,6,49338,821,7,1,True
2,1,0,0,81206,654,3,0,False
1,1,2,2,21493,679,3,1,True
2,1,2,0,9134,675,2,1,True
1,1,3,1,8302,675,2,0,True
1,1,1,0,25211,939,2,0,True
1,1,8,1,52823,762,2,0,True
1,1,12,1,47956,746,2,0,True
3,1,7,1,19604,675,2,1,True
1,1,7,0,15305,798,2,0,True
1,1,9,1,84834,52,4,2,True
3,1,9,1,83502,52,2,0,True
1,1,1,0,20789,1399,2,0,True
1,1,8,1,46760,681,2,0,True
1,1,7,1,24867,1002,2,0,True
1,1,19,1,4043,874,2,1,False
2,1,10,1,63535,52,2,0,True
1,1,151,64,17867,1630,2,1,False
1,1,10,1,17842,52,2,0,True
1,1,9,1,16662,52,2,0,True
1,1,1,0,62374,856,3,1,False
1,1,8,1,6500,52,2,0,True
1,1,8,1,8340,52,2,0,True
2,1,8,1,36228,52,2,0,True
2,1,9,1,18182,52,2,0,True
2,1,12,1,15977,545,2,0,True
2,1,8,1,23000,52,2,0,True
1,1,6,1,56764,675,2,0,True
1,1,8,1,62766,52,2,0,True
1,1,10,1,23933,689,2,0,True
2,1,8,1,60988,52,2,0,True
1,1,7,1,9127,52,2,0,True
1,1,8,1,3711,708,2,0,True
1,1,8,1,26169,675,2,0,True
1,1,7,1,76283,52,2,0,True
1,1,8,1,28465,52,2,0,True
2,1,9,1,62579,52,2,0,True
1,0,0,0,83535,675,2,0,True
1,1,2,0,73652,730,2,0,True
1,1,6,0,77112,760,2,0,True
1,1,7,1,62983,51,2,0,True
1,1,7,1,48695,51,2,0,True
1,1,7,1,71117,51,2,0,True
1,1,6,1,6726,721,2,0,True
1,1,8,1,19764,51,2,0,False
1,1,1,0,65078,633,3,0,True
1,1,13,1,4729,709,2,0,True
1,1,9,1,55494,51,2,0,True
1,7,11,11,62771,409,3,1,False
2,3,20,3,54902,926,3,1,True
2,1,1,1,46075,898,3,0,True
1,1,7,1,32825,675,3,1,True
1,1,6,1,18965,722,2,0,True
1,1,6,1,57607,739,2,0,True
1,1,21,0,54011,675,3,0,False
1,1,5,0,57433,708,2,0,True
1,1,8,1,73193,51,2,0,True
1,1,1,0,32967,72,2,1,True
1,1,1,0,41739,758,2,0,False
1,1,12,1,13924,51,2,1,True
1,1,8,1,80771,51,2,0,True
1,1,6,1,65535,714,2,0,True
2,2,8,2,39324,764,2,0,True
1,1,1,0,70716,716,3,0,True
1,1,17,1,82121,815,2,0,True
1,1,8,1,5594,675,2,0,True
1,1,14,1,47787,716,2,0,True
1,1,15,1,49118,675,2,1,True
1,1,7,1,47572,675,2,0,True
1,1,10,1,65916,675,2,1,True
1,1,8,1,59260,816,2,0,True
1,1,7,1,59323,886,2,0,True
1,1,3,1,19077,711,2,0,True
1,1,1,0,72218,734,3,0,True
1,1,1,0,57246,911,2,0,True
1,1,2,0,29436,740,2,0,True
1,1,15,1,9824,675,2,1,True
1,1,1,0,7635,1195,2,0,True
1,1,3,1,64154,0,2,0,True
1,1,5,1,64075,0,2,0,True
1,1,7,1,63659,0,2,0,True
1,1,9,1,62923,0,2,0,True
1,1,10,1,62100,35,2,0,True
1,1,9,1,60983,0,2,0,True
1,1,10,1,43654,23,2,0,True
1,1,10,1,39753,17,2,0,True
1,1,10,1,5476,0,2,0,True
1,1,8,1,13157,0,2,0,True
5,5,62,5,60279,70,2,0,True
1,1,1,0,68570,407,2,0,True
2,3,33,3,78815,37,2,0,True
1,1,2,1,43590,65,2,0,True
1,1,6,1,15266,27,2,0,True
1,1,6,1,14798,28,2,0,True
1,1,9,1,11903,0,2,0,True
1,1,8,1,24104,28,2,0,True
1,1,8,1,14715,0,2,0,True
1,1,9,1,47519,41,2,0,True
2,1,3,1,27055,0,2,0,True
1,1,12,1,20736,60,2,0,True
1,1,5,1,85445,127,2,0,True
1,1,15,1,19328,37,2,0,True
1,1,8,1,18821,34,2,0,True
1,3,21,3,64205,267,2,2,False
1,1,1,1,15681,78,2,1,True
1,1,7,1,78501,33,2,1,True
1,1,8,3,70354,0,2,0,True
1,1,12,1,74215,0,2,0,True
1,1,15,1,62930,282,2,0,True
1,1,7,1,55924,40,2,0,True
1,1,8,1,8955,0,2,0,True
1,1,9,1,13463,0,2,0,True
1,1,15,15,28428,21,2,0,True
1,1,3,1,17000,0,2,0,False
1,1,6,1,9505,43,2,0,True
2,1,3,1,75223,0,2,0,True
1,1,13,1,71368,31,2,0,True
1,1,10,1,56698,109,2,0,True
1,1,12,1,55601,0,2,0,True
1,1,2,2,29186,23,2,1,True
1,1,7,1,13508,0,2,0,True
1,1,7,1,4198,36,2,0,True
1,1,8,1,85566,0,2,0,True
1,1,8,0,20085,42,2,0,True
1,1,8,1,14245,0,2,0,True
1,4,21,4,38493,0,2,0,True
1,1,15,1,19238,17,2,0,True
2,1,7,1,14557,17,2,0,True
1,2,1,1,25194,179,2,1,False
1,1,6,1,44339,168,2,0,True
1,1,5,1,23968,0,2,0,True
1,1,1,0,18205,124,2,1,True
1,1,5,1,8388,38,2,0,True
1,1,8,1,6532,0,2,0,True
1,1,8,1,5213,0,2,1,True
1,1,8,1,3956,0,2,0,True
1,1,12,1,51397,0,2,0,True
1,1,7,1,58921,0,2,0,True
1,1,19,1,57740,0,2,0,True
1,1,7,1,47899,52,2,0,True
1,1,1,1,17533,0,2,0,True
1,1,1,0,81836,0,2,0,True
1,1,8,1,80642,0,2,0,True
1,1,8,1,20113,74,2,0,True
1,1,3,1,18843,90,2,0,True
1,1,7,1,12802,99,2,0,True
2,1,7,1,56207,37,2,0,True
1,1,6,1,9627,0,2,0,True
1,1,13,1,83548,78,2,0,True
1,1,8,1,82987,24,2,0,True
1,1,5,1,22428,0,2,0,True
1,1,5,1,22159,0,2,0,True
1,1,6,1,12267,0,2,0,True
1,1,6,1,10285,0,2,0,True
1,1,5,1,10069,0,2,0,True
1,1,6,1,17925,0,2,0,True
1,1,6,1,17025,0,2,0,True
1,1,8,1,9938,0,2,0,True
1,1,6,1,9715,0,2,0,True
