name_with_owner,stars,created_at
yarnpkg/yarn,41326,2016-01-19
ruanyf/weekly,41143,2018-10-13
hashicorp/terraform,41058,2014-03-13
dypsilon/frontend-dev-bookmarks,40850,2013-06-22
appwrite/appwrite,40809,2019-04-08
Asabeneh/30-Days-Of-JavaScript,40806,2019-12-23
bailicangdu/vue2-elm,40736,2016-12-23
grpc/grpc,40649,2014-12-08
Unitech/pm2,40633,2013-05-21
starship/starship,40533,2019-04-02
Alamofire/Alamofire,40490,2014-07-31
discourse/discourse,40381,2013-01-12
n8n-io/n8n,40342,2019-06-22
streamich/react-use,40263,2018-10-27
brillout/awesome-react-components,40257,2016-06-24
nwjs/nw.js,40093,2012-01-04
nlohmann/json,40078,2013-07-04
styled-components/styled-components,40048,2016-08-16
yangshun/front-end-interview-handbook,40026,2018-01-13
apache/dubbo,39978,2012-06-19
dkhamsing/open-source-ios-apps,39940,2015-01-26
Leaflet/Leaflet,39888,2010-09-22
type-challenges/type-challenges,39827,2020-07-23
akullpp/awesome-java,39820,2014-07-09
GitSquared/edex-ui,39793,2017-01-28
TanStack/query,39561,2019-09-10
react-hook-form/react-hook-form,39442,2019-03-05
serhii-londar/open-source-mac-os-apps,39357,2017-11-03
faif/python-patterns,39320,2012-06-06
dcloudio/uni-app,39311,2018-07-12
Homebrew/brew,39260,2016-03-06
THUDM/ChatGLM-6B,39054,2023-03-13
vuetifyjs/vuetify,38991,2016-09-12
quilljs/quill,38940,2012-07-30
Dogfalo/materialize,38863,2014-09-12
skylot/jadx,38833,2013-03-18
geekan/MetaGPT,38795,2023-06-30
RocketChat/Rocket.Chat,38761,2015-05-19
alex/what-happens-when,38616,2013-11-07
fastlane/fastlane,38579,2014-12-02
kelseyhightower/kubernetes-the-hard-way,38522,2016-07-07
nolimits4web/swiper,38491,2012-03-14
jgraph/drawio,38461,2016-09-06
hexojs/hexo,38381,2012-09-23
apache/spark,38264,2014-02-25
PaddlePaddle/PaddleOCR,38183,2020-05-08
microsoft/monaco-editor,38155,2016-06-07
apachecn/ailearning,37965,2017-02-25
hpcaitech/ColossalAI,37761,2021-10-28
jeecgboot/jeecg-boot,37635,2018-11-26
impress/impress.js,37488,2011-12-28
Kong/kong,37426,2014-11-17
LeCoupa/awesome-cheatsheets,37412,2017-11-09
chubin/cheat.sh,37396,2017-05-07
floodsung/Deep-Learning-Papers-Reading-Roadmap,37332,2016-10-14
psf/black,37328,2018-03-14
dbeaver/dbeaver,37237,2015-10-21
php/php-src,37222,2011-06-16
evanw/esbuild,37220,2016-06-14
PhilJay/MPAndroidChart,37215,2014-04-25
videojs/video.js,37101,2010-05-14
prisma/prisma,37074,2019-06-20
Light-City/CPlusPlusThings,37039,2019-07-14
google-research/bert,36929,2018-10-25
alist-org/alist,36916,2020-12-23
tabler/tabler,36879,2018-02-01
getsentry/sentry,36775,2010-08-30
wg/wrk,36707,2012-03-20
FreeCodeCampChina/freecodecamp.cn,36636,2016-09-30
bannedbook/fanqiang,36630,2015-01-14
LAION-AI/Open-Assistant,36601,2022-12-13
sudheerj/reactjs-interview-questions,36545,2018-05-31
pyenv/pyenv,36517,2012-08-31
google/styleguide,36490,2015-05-20
chakra-ui/chakra-ui,36485,2019-08-17
metabase/metabase,36365,2015-02-02
freefq/free,36309,2020-06-07
acmesh-official/acme.sh,36298,2015-12-26
phaserjs/phaser,36274,2013-04-12
iina/iina,36248,2016-12-19
lyswhut/lx-music-desktop,36244,2019-08-14
opentofu/manifesto,36242,2023-08-13
0voice/interview_internal_reference,36064,2019-06-10
pingcap/tidb,36059,2015-09-06
Stability-AI/stablediffusion,36009,2022-11-23
preactjs/preact,36007,2015-09-11
eugenp/tutorials,35904,2013-04-29
QSCTech/zju-icicles,35891,2016-06-28
spf13/cobra,35846,2013-09-03
slatedocs/slate,35818,2013-09-13
dylanaraps/pure-bash-bible,35811,2018-06-13
DovAmir/awesome-design-patterns,35786,2018-06-04
ant-design/ant-design-pro,35746,2017-08-25
oobabooga/text-generation-webui,35629,2022-12-21
GokuMohandas/Made-With-ML,35584,2018-11-05
AobingJava/JavaFamily,35357,2019-11-12
open-guides/og-aws,35350,2016-07-13
gto76/python-cheatsheet,35346,2018-01-25
go-gorm/gorm,35337,2013-10-25
lerna/lerna,35330,2015-12-04
cli/cli,35296,2019-10-03
vlang/v,35248,2019-02-08
sickcodes/Docker-OSX,35115,2020-06-04
exacity/deeplearningbook-chinese,35089,2016-12-07
satwikkansal/wtfpython,35012,2017-08-28
google/leveldb,34991,2014-08-27
alvarotrigo/fullPage.js,34982,2013-09-20
byoungd/English-level-up-tips,34912,2017-05-30
istio/istio,34906,2016-11-18
XingangPan/DragGAN,34894,2023-05-18
koalaman/shellcheck,34877,2012-11-17
vim/vim,34855,2015-08-18
koajs/koa,34810,2013-07-20
mingrammer/diagrams,34764,2020-02-02
geekxh/hello-algorithm,34691,2020-05-29
NervJS/taro,34681,2018-04-08
sahat/hackathon-starter,34680,2013-11-13
shadowsocks/shadowsocks-android,34641,2012-12-16
airbnb/lottie-android,34637,2016-10-06
nativefier/nativefier,34610,2015-07-05
alibaba/arthas,34606,2018-08-29
localsend/localsend,34526,2022-12-16
chenfei-wu/TaskMatrix,34508,2023-03-02
TencentARC/GFPGAN,34489,2021-03-19
nodejs/node-v0.x-archive,34465,2009-05-27
SheetJS/sheetjs,34435,2012-12-03
coreybutler/nvm-windows,34389,2014-09-20
odoo/odoo,34348,2014-05-13
apache/airflow,34348,2015-04-13
bumptech/glide,34326,2013-07-08
lllyasviel/Fooocus,34323,2023-08-09
bradtraversy/50projects50days,34295,2020-11-16
dotnet/aspnetcore,34266,2014-03-11
mitmproxy/mitmproxy,34229,2010-02-16
unknwon/the-way-to-go_ZH_CN,34122,2013-03-24
formulahendry/955.WLB,34115,2019-03-27
curl/curl,34068,2010-03-18
jondot/awesome-react-native,34042,2015-03-26
ClickHouse/ClickHouse,33982,2016-06-02
carbon-app/carbon,33977,2017-06-16
denysdovhan/wtfjs,33941,2017-07-14
BVLC/caffe,33838,2013-09-12
openai/gym,33825,2016-04-27
freeCodeCamp/devdocs,33799,2013-10-24
zenorocha/clipboard.js,33769,2015-09-18
babysor/MockingBird,33741,2021-08-07
date-fns/date-fns,33615,2014-10-06
testerSunshine/12306,33597,2017-05-17
shadowsocks/shadowsocks,33505,2012-04-20
lm-sys/FastChat,33504,2023-03-19
jaredpalmer/formik,33463,2017-06-14
aria2/aria2,33443,2010-11-27
xitu/gold-miner,33341,2015-11-04
AFNetworking/AFNetworking,33335,2011-05-31
naptha/tesseract.js,33327,2015-06-24
adobe/brackets,33297,2011-12-07
typeorm/typeorm,33235,2016-02-29
jesseduffield/lazydocker,33159,2019-05-18
junegunn/vim-plug,33140,2013-09-10
Kong/insomnia,33005,2016-04-23
google/googletest,32988,2015-07-28
huihut/interview,32970,2018-02-09
pocketbase/pocketbase,32899,2022-07-05
Blankj/AndroidUtilCode,32897,2016-07-30
gulpjs/gulp,32882,2013-07-04
immutable-js/immutable-js,32855,2014-07-02
tmux/tmux,32815,2015-06-03
WerWolv/ImHex,32762,2020-11-10
netty/netty,32722,2010-11-09
rapid7/metasploit-framework,32718,2011-08-30
sorrycc/awesome-javascript,32708,2014-07-01
google-research/google-research,32705,2018-10-04
dani-garcia/vaultwarden,32683,2018-02-17
XX-net/XX-Net,32662,2015-01-15
trpc/trpc,32507,2020-07-18
photoprism/photoprism,32480,2018-01-27
microsoft/DeepSpeed,32449,2020-01-23
novuhq/novu,32430,2021-08-26
atlassian/react-beautiful-dnd,32337,2017-08-09
tldraw/tldraw,32333,2021-05-09
fxsjy/jieba,32331,2012-09-29
google/material-design-lite,32280,2015-01-14
bigskysoftware/htmx,32280,2020-04-13
docker/compose,32269,2013-12-09
jgm/pandoc,32267,2010-03-20
suno-ai/bark,32225,2023-04-07
hankcs/HanLP,32200,2014-10-09
zxing/zxing,32194,2011-10-12
shadowsocks/ShadowsocksX-NG,32149,2016-06-10
carbon-language/carbon-lang,32136,2020-04-27
lapce/lapce,32134,2018-02-06
1c7/chinese-independent-developer,32129,2017-09-21
PKUanonym/REKCARC-TSC-UHT,32126,2019-04-05
bilibili/ijkplayer,32079,2013-06-03
bevyengine/bevy,32060,2020-01-18
zhongyang219/TrafficMonitor,32010,2017-07-30
xkcoding/spring-boot-demo,31949,2017-11-10
halfrost/LeetCode-Go,31932,2017-07-18
Ryujinx/Ryujinx,31930,2018-02-04
comfyanonymous/ComfyUI,31909,2023-01-17
markedjs/marked,31825,2011-07-24
files-community/Files,31824,2019-01-04
QuivrHQ/quivr,31799,2023-05-12
httpie/cli,31715,2012-02-25
goabstract/Awesome-Design-Tools,31707,2019-02-12
typicode/husky,31507,2014-06-23
Trinea/android-open-project,31484,2014-01-05
laravel/framework,31448,2013-01-10
sharkdp/fd,31441,2017-05-09
appsmithorg/appsmith,31400,2020-06-30
harness/gitness,31370,2014-02-07
streamlit/streamlit,31367,2019-08-24
karpathy/nanoGPT,31356,2022-12-28
halo-dev/halo,31336,2018-03-21
ccxt/ccxt,31236,2017-05-14
gofiber/fiber,31229,2020-01-16
bayandin/awesome-awesomeness,31226,2014-07-08
TheAlgorithms/JavaScript,31196,2017-07-13
slidevjs/slidev,31055,2021-04-24
alebcay/awesome-shell,31011,2014-07-07
blueimp/jQuery-File-Upload,30982,2010-12-01
solidjs/solid,30979,2018-04-24
ray-project/ray,30897,2016-10-25
zed-industries/zed,30890,2021-02-20
beego/beego,30854,2012-02-29
microsoft/AI-For-Beginners,30837,2021-03-03
alibaba/easyexcel,30826,2018-02-06
The-Run-Philosophy-Organization/run,30805,2022-04-10
hasura/graphql-engine,30795,2018-06-18
certbot/certbot,30786,2014-11-12
Asabeneh/30-Days-Of-Python,30652,2019-11-19
run-llama/llama_index,30589,2022-11-02
termux/termux-app,30519,2015-10-23
fastify/fastify,30510,2016-09-28
saadeghi/daisyui,30465,2020-11-28
sqlmapproject/sqlmap,30458,2012-06-26
fengdu78/Coursera-ML-AndrewNg-Notes,30388,2017-11-04
mqyqingfeng/Blog,30380,2017-03-13
ziadoz/awesome-php,30311,2013-11-26
Chanzhaoyu/chatgpt-web,30304,2023-02-09
2dust/v2rayNG,30245,2019-05-15
ziglang/zig,30238,2015-08-06
Binaryify/NeteaseCloudMusicApi,30231,2016-06-22
ReactiveX/rxjs,30153,2015-03-15
toeverything/AFFiNE,30123,2022-07-31
colinhacks/zod,30092,2020-03-07
amix/vimrc,30078,2012-05-29
alibaba/p3c,30070,2017-06-23
lib-pku/libpku,30065,2018-11-22
docker/awesome-compose,29974,2020-02-13
immich-app/immich,29967,2022-02-03
swc-project/swc,29922,2017-12-22
ityouknow/spring-boot-examples,29880,2016-11-05
joshbuchea/HEAD,29872,2016-04-20
yewstack/yew,29860,2017-12-16
nushell/nushell,29801,2019-05-10
helix-editor/helix,29790,2020-06-01
mathiasbynens/dotfiles,29765,2011-09-05
CMU-Perceptual-Computing-Lab/openpose,29762,2017-04-24
vuejs/vue-cli,29749,2015-12-26
niklasvh/html2canvas,29743,2011-07-16
geekcomputers/Python,29733,2011-11-30
ggerganov/whisper.cpp,29707,2022-09-25
SimplifyJobs/Summer2024-Internships,29700,2020-05-23
pcottle/learnGitBranching,29646,2012-08-13
ibraheemdev/modern-unix,29626,2021-01-12
huggingface/pytorch-image-models,29608,2019-02-02
airbnb/lottie-web,29608,2015-02-20
foundation/foundation-sites,29599,2011-10-13
hashicorp/vault,29594,2015-02-25
reworkd/AgentGPT,29576,2023-04-07
logseq/logseq,29519,2020-05-23
zsh-users/zsh-autosuggestions,29508,2013-10-26
jellyfin/jellyfin,29453,2018-12-09
ariya/phantomjs,29393,2010-12-27
DIYgod/RSSHub,29375,2018-04-02
react-boilerplate/react-boilerplate,29371,2015-02-18
0xAX/linux-insides,29366,2015-01-03
python-poetry/poetry,29351,2018-02-28
vercel/swr,29348,2019-10-28
symfony/symfony,29274,2010-01-04
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,29223,2015-03-28
SeleniumHQ/selenium,29202,2013-01-14
lukehoban/es6features,29200,2014-03-03
CSSEGISandData/COVID-19,29177,2020-02-04
elsewhencode/project-guidelines,29177,2017-06-30
facebookresearch/fairseq,29164,2017-08-29
square/leakcanary,29107,2015-04-29
geekan/HowToLiveLonger,29050,2022-04-16
yunjey/pytorch-tutorial,29046,2017-03-10
IanLunn/Hover,29045,2014-01-02
ehang-io/nps,29041,2018-11-04
sequelize/sequelize,29020,2010-07-22
TheAlgorithms/C-Plus-Plus,29019,2016-07-16
aosabook/500lines,29017,2013-11-04
kilimchoi/engineering-blogs,29010,2015-06-13
cockroachdb/cockroach,29004,2014-02-06
alibaba/nacos,28958,2018-06-15
ianstormtaylor/slate,28942,2016-06-18
jqlang/jq,28935,2012-07-18
webtorrent/webtorrent,28930,2013-10-15
coqui-ai/TTS,28860,2020-05-20
qishibo/AnotherRedisDesktopManager,28851,2019-01-08
standard/standard,28848,2015-01-27
microsoft/calculator,28838,2019-01-28
expo/expo,28817,2016-08-15
layui/layui,28783,2015-09-22
apolloconfig/apollo,28752,2016-03-04
