name_with_owner,stars,created_at,releases
vavr-io/vavr,5496,2014-01-30,17
AriaLyy/Aria,5485,2016-02-19,26
alibaba/freeline,5485,2016-08-03,22
pig-mesh/pig,5455,2019-08-26,34
dm77/barcodescanner,5454,2014-02-24,6
LandGrey/SpringBootVulExploit,5453,2020-05-20,0
scribejava/scribejava,5418,2010-09-05,9
apache/dubbo-spring-boot-project,5403,2018-01-18,13
wuhaoyu1990/MagicCamera,5389,2016-01-08,0
apache/iceberg,5387,2018-11-19,18
google/google-java-format,5377,2015-05-11,26
motianhuo/wechat,5351,2015-05-25,0
commonsguy/cw-omnibus,5332,2012-03-12,36
baidu/uid-generator,5329,2017-03-27,0
evant/gradle-retrolambda,5311,2013-08-05,37
h6ah4i/android-advancedrecyclerview,5306,2015-01-24,1
facebookarchive/shimmer-android,5287,2015-02-27,5
apache/hive,5283,2009-05-21,0
WeiYe-Jing/datax-web,5270,2019-11-19,5
vespa-engine/vespa,5264,2016-06-03,132
ElderDrivers/EdXposed,5259,2019-01-18,27
socketio/socket.io-client-java,5251,2013-04-28,5
xxv/android-lifecycle,5247,2014-04-18,0
Karumi/Dexter,5233,2015-11-17,33
Clans/FloatingActionButton,5231,2015-03-21,14
Yalantis/Side-Menu.Android,5228,2015-01-13,2
getActivity/XXPermissions,5226,2018-06-15,59
mybatis/generator,5224,2013-02-10,11
lettuce-io/lettuce-core,5223,2014-05-10,112
jeecgboot/JimuReport,5184,2019-12-05,15
square/otto,5174,2012-06-27,0
javaparser/javaparser,5162,2011-10-30,48
Jasonchenlijian/FastBle,5156,2016-08-23,9
ZHENFENG13/spring-boot-projects,5141,2017-04-01,0
careercup/ctci,5120,2013-03-21,0
obsidiandynamics/kafdrop,5119,2019-05-27,47
opengoofy/hippo4j,5112,2021-06-16,18
razerdp/BasePopup,5107,2016-01-15,15
zfdang/Android-Touch-Helper,5096,2020-10-16,112
apache/flink-cdc,5091,2020-07-27,16
huangyanbin/smartTable,5083,2017-11-08,44
apache/hbase,5081,2014-05-23,38
apache/pinot,5072,2014-05-19,20
CodingDocs/springboot-guide,5028,2018-11-28,0
Trinea/android-common,5014,2012-06-19,1
alibaba/UltraViewPager,5004,2017-03-29,10
orhanobut/dialogplus,5004,2014-12-12,9
apache/hudi,4998,2016-12-14,26
frogermcs/InstaMaterial,4997,2014-11-10,1
spring-attic/spring-mvc-showcase,4997,2011-06-03,0
yipianfengye/android-zxingLibrary,4993,2016-07-26,0
TeamAmaze/AmazeFileManager,4992,2014-07-14,66
rubensousa/GravitySnapHelper,4988,2016-08-31,14
DerekYRC/mini-spring,4975,2020-11-17,0
JodaOrg/joda-time,4966,2011-05-16,47
amitshekhariitbhu/RxJava2-Android-Samples,4965,2016-08-27,0
jetlinks/jetlinks-community,4958,2020-01-02,18
Devlight/NavigationTabBar,4948,2016-03-29,13
OpenTSDB/opentsdb,4938,2010-08-27,26
traex/RippleEffect,4938,2014-10-14,0
web3j/web3j,4910,2016-09-04,108
deathmarine/Luyten,4903,2013-07-11,17
Ramotion/folding-cell-android,4888,2016-04-01,0
youlookwhat/CloudReader,4881,2016-11-20,25
Doikki/DKVideoPlayer,4871,2017-04-11,32
natario1/CameraView,4837,2017-07-18,42
spring-cloud/spring-cloud-netflix,4834,2014-07-11,11
andkulikov/Transitions-Everywhere,4832,2014-10-15,23
jankotek/mapdb,4821,2012-08-17,0
react-native-linear-gradient/react-native-linear-gradient,4791,2015-03-31,18
reactor/reactor-core,4791,2015-11-10,163
citerus/dddsample-core,4786,2015-01-31,0
saiwu-bigkoo/Android-ConvenientBanner,4774,2014-12-23,0
zhanglei-workspace/shopping-management-system,4772,2015-11-16,0
brianfrankcooper/YCSB,4767,2010-04-19,55
etsy/AndroidStaggeredGrid,4763,2013-12-09,7
nayuki/QR-Code-generator,4749,2016-04-15,3
traccar/traccar,4735,2012-04-16,48
roncoo/roncoo-pay,4730,2016-07-21,0
reactive-streams/reactive-streams-jvm,4729,2014-02-28,0
lugg/react-native-config,4727,2016-02-23,23
cglib/cglib,4726,2014-03-29,15
hongyangAndroid/baseAdapter,4720,2015-08-03,0
nisrulz/android-tips-tricks,4707,2016-08-25,0
spring-projects/spring-authorization-server,4690,2020-03-17,49
spring-attic/spring-security-oauth,4688,2011-07-26,0
xuexiangjys/XUI,4686,2019-01-07,23
WuKongOpenSource/WukongCRM-11.0-JAVA,4681,2021-04-06,0
orientechnologies/orientdb,4680,2012-12-09,210
kyleduo/SwitchButton,4680,2014-09-09,0
jgilfelt/chuck,4672,2017-02-07,5
Exrick/xpay,4670,2017-12-12,0
remkop/picocli,4668,2017-02-01,84
alibaba/jetcache,4667,2017-04-12,64
wdullaer/MaterialDateTimePicker,4666,2015-01-03,54
apache/ignite,4658,2015-02-19,0
ronmamo/reflections,4653,2013-04-16,3
line/armeria,4634,2015-11-16,230
techGay/v9porn,4631,2018-04-12,9
pmd/pmd,4611,2012-07-11,89
SplashCodes/JAViewer,4597,2016-05-21,10
graphhopper/graphhopper,4596,2012-02-18,41
firebase/FirebaseUI-Android,4586,2015-07-09,65
xuchengsheng/spring-reading,4581,2023-09-15,0
CellularPrivacy/Android-IMSI-Catcher-Detector,4579,2013-11-23,48
chentao0707/SimplifyReader,4568,2015-08-17,0
bisq-network/bisq,4566,2014-03-12,135
tuguangquan/mybatis,4562,2014-11-03,0
Fuzion24/JustTrustMe,4551,2014-07-24,1
LWJGL/lwjgl3,4542,2012-12-23,18
puniverse/quasar,4541,2013-03-27,18
jdamcd/android-crop,4541,2014-03-13,6
jeequan/jeepay,4537,2017-08-12,0
Flipboard/bottomsheet,4536,2015-04-23,10
runelite/runelite,4534,2016-04-30,0
javagrowing/JGrowing,4527,2019-02-26,0
jagrosh/MusicBot,4526,2016-08-14,35
apache/rocketmq-externals,4523,2017-03-14,0
alibaba/QLExpress,4520,2017-03-15,5
alibaba/dexposed,4502,2015-06-30,0
JakeWharton/NineOldAndroids,4499,2011-12-08,0
castorflex/SmoothProgressBar,4496,2013-11-27,9
TheoKanning/openai-java,4463,2020-09-15,22
cjlin1/libsvm,4457,2013-09-10,0
stleary/JSON-java,4456,2010-12-21,21
zlt2000/microservices-platform,4456,2019-03-07,30
youlookwhat/DesignPattern,4452,2016-10-21,0
Heeexy/SpringBoot-Shiro-Vue,4449,2017-11-17,0
react-native-webrtc/react-native-webrtc,4442,2015-09-27,71
square/android-times-square,4437,2013-01-30,0
janishar/android-mvp-architecture,4431,2017-01-27,0
baomidou/dynamic-datasource,4423,2018-04-28,17
brunodev85/winlator,4420,2023-07-26,8
CaffeineMC/sodium-fabric,4415,2020-02-01,32
SPLWare/esProc,4408,2021-11-09,0
dromara/hertzbeat,4395,2022-02-04,28
Meituan-Dianping/Robust,4389,2017-03-14,13
GeyserMC/Geyser,4386,2019-07-08,0
Tencent/GT,4383,2016-01-13,3
firebase/FirebaseUI-Android,4586,2015-07-09,65
xuchengsheng/spring-reading,4581,2023-09-15,0
CellularPrivacy/Android-IMSI-Catcher-Detector,4579,2013-11-23,48
bisq-network/bisq,4566,2014-03-12,135
tuguangquan/mybatis,4562,2014-11-03,0
Fuzion24/JustTrustMe,4551,2014-07-24,1
LWJGL/lwjgl3,4542,2012-12-23,18
puniverse/quasar,4541,2013-03-27,18
jdamcd/android-crop,4541,2014-03-13,6
querydsl/querydsl,4538,2011-08-05,35
jeequan/jeepay,4537,2017-08-12,0
Flipboard/bottomsheet,4536,2015-04-23,10
runelite/runelite,4534,2016-04-30,0
javagrowing/JGrowing,4527,2019-02-26,0
jagrosh/MusicBot,4526,2016-08-14,35
apache/rocketmq-externals,4523,2017-03-14,0
alibaba/QLExpress,4520,2017-03-15,5
alibaba/dexposed,4502,2015-06-30,0
JakeWharton/NineOldAndroids,4499,2011-12-08,0
castorflex/SmoothProgressBar,4496,2013-11-27,9
HotBitmapGG/bilibili-android-client,4481,2016-06-01,1
TheoKanning/openai-java,4463,2020-09-15,22
cjlin1/libsvm,4457,2013-09-10,0
stleary/JSON-java,4456,2010-12-21,21
zlt2000/microservices-platform,4456,2019-03-07,30
youlookwhat/DesignPattern,4452,2016-10-21,0
Heeexy/SpringBoot-Shiro-Vue,4449,2017-11-17,0
react-native-webrtc/react-native-webrtc,4442,2015-09-27,71
square/android-times-square,4437,2013-01-30,0
janishar/android-mvp-architecture,4431,2017-01-27,0
baomidou/dynamic-datasource,4423,2018-04-28,17
brunodev85/winlator,4420,2023-07-26,8
CaffeineMC/sodium-fabric,4415,2020-02-01,32
SPLWare/esProc,4408,2021-11-09,0
dromara/hertzbeat,4395,2022-02-04,28
azkaban/azkaban,4392,2012-10-18,48
Meituan-Dianping/Robust,4389,2017-03-14,13
GeyserMC/Geyser,4386,2019-07-08,0
Tencent/GT,4383,2016-01-13,3
phishman3579/java-algorithms-implementation,4377,2013-11-20,0
robinhood/ticker,4375,2016-07-15,9
chewiebug/GCViewer,4370,2011-10-23,5
strimzi/strimzi-kafka-operator,4368,2016-05-06,133
Ashok-Varma/BottomNavigation,4357,2016-03-19,16
awangdev/leet-code,4356,2015-04-25,0
PhilippC/keepass2android,4351,2017-09-20,27
bytedeco/javacpp,4340,2014-04-21,11
liquibase/liquibase,4338,2011-07-08,93
JZ-Darkal/AndroidHttpCapture,4337,2016-10-15,1
spring-cloud/spring-cloud-gateway,4336,2016-11-16,12
tianshiyeben/wgcloud,4321,2019-01-15,23
tiann/epic,4321,2017-05-22,5
krahets/LeetCode-Book,4320,2021-12-17,0
bingoogolapple/BGARefreshLayout-Android,4313,2015-05-28,4
rubenlagus/TelegramBots,4313,2016-01-14,83
