name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
ngbdf/redis-manager,2910,2018-05-18,13,14556,1331,226,16672
mxdldev/android-mvp-mvvm-flytour,3137,2018-12-25,11,21364,1448,700,4971
KeepSafe/ReLinker,3134,2015-10-15,12,1224,138,56,189
requery/requery,3133,2015-11-14,43,23679,3937,988,18743
airbnb/native-navigation,3129,2016-09-16,0,4473,611,149,3233
zhou-you/RxEasyHttp,3124,2017-06-07,0,11670,1462,421,16946
evrencoskun/TableView,3120,2017-06-13,12,5170,712,174,6177
Netflix/concurrency-limits,3111,2017-12-11,94,4795,581,161,958
mplushnikov/lombok-intellij-plugin,3109,2013-10-09,116,31847,5615,2340,20113
dunwu/javacore,3108,2017-08-18,0,20749,1077,1231,1932
florent37/ShapeOfView,3106,2018-02-18,0,2078,238,83,1335
zaaach/CityPicker,3105,2016-02-27,2,1295,190,63,275
bastillion-io/Bastillion,3078,2013-02-07,18,5129,464,85,2067
rbmonster/learning-note,3072,2020-06-15,0,13368,1444,772,1904
JackyAndroid/AndroidChromium,3064,2016-07-04,2,139119,15503,3810,182955
bethrobson/Head-First-Design-Patterns,3061,2014-04-28,0,9734,1138,687,1555
oblador/react-native-keychain,3060,2015-05-20,33,2491,393,96,2279
apache/curator,3059,2014-03-03,0,47870,6680,1566,15252
gabrielemariotti/RecyclerViewItemAnimators,3051,2014-08-22,0,2088,294,93,231
bytedance/ByteX,3051,2020-01-10,3,19647,1814,610,5642
yarolegovich/SlidingRootNav,3050,2017-03-26,1,971,148,51,727
sofastack/sofa-jarslink,3044,2018-02-02,2,948,118,38,70
springdoc/springdoc-openapi,3043,2019-07-11,77,41679,11097,3521,28656
CrawlScript/WebCollector,3040,2014-07-12,0,4605,538,284,4795
JackyAndroid/AndroidTVLauncher,3038,2016-03-27,3,1086,167,43,465
xmuSistone/ViewpagerTransition,3038,2016-09-19,1,588,79,25,94
react-native-google-signin/google-signin,3035,2015-08-13,59,620,87,23,111
yusugomori/DeepLearning,3033,2013-01-01,0,1083,50,13,28
TNG/ArchUnit,3032,2017-04-21,36,78733,13042,4597,143807
IrisShaders/Iris,3030,2020-10-22,127,38156,5602,1234,20039
Grt1228/chatgpt-java,3028,2023-02-11,10,3713,1276,212,2383
szerhusenBC/jwt-spring-security-demo,3023,2016-03-20,3,549,171,41,163
elvishew/xLog,3021,2015-12-17,16,4854,399,162,4760
jgilfelt/android-viewbadger,3021,2011-09-27,0,563,58,18,456
torakiki/pdfsam,3020,2013-09-24,57,19103,4427,889,2987
jd-alexander/LikeButton,3014,2015-12-23,14,781,102,23,373
keyboardsurfer/Crouton,3012,2012-08-03,8,1454,101,23,590
dmytrodanylyk/android-process-button,3010,2014-05-02,1,941,105,39,511
real-logic/simple-binary-encoding,3009,2013-09-03,83,25040,1252,208,62108
yui/yuicompressor,3009,2008-12-05,1,6075,58,22,1238
ltsopensource/light-task-scheduler,3000,2014-10-24,29,45904,4785,1508,27176
camunda/zeebe,2994,2016-03-20,259,285018,47956,10214,156909
JFormDesigner/FlatLaf,2994,2019-08-19,79,69002,3046,3019,51786
AdoptOpenJDK/jitwatch,2992,2013-09-30,12,51232,2638,737,16623
facebookarchive/react-native-fbsdk,2992,2015-08-03,22,1241,258,65,408
pedrovgs/DraggablePanel,2988,2014-04-13,10,1975,237,68,2333
smartloli/EFAK,2988,2017-02-04,0,7351,978,217,1163
bmelnychuk/AndroidTreeView,2983,2015-02-11,0,2145,256,65,2230
jackpal/Android-Terminal-Emulator,2976,2010-09-04,0,11869,675,222,8622
vran-dev/PrettyZoo,2976,2019-09-28,40,7302,899,194,2761
EngineHub/WorldEdit,2971,2010-09-28,0,88892,10792,2103,50065
lovetuzitong/MultiImageSelector,2968,2015-04-08,2,1425,138,38,229
jasonross/Nuwa,2964,2015-11-11,0,130,20,10,12
syncthing/syncthing-android,2959,2014-02-22,325,8421,915,240,1272
Tencent/VasDolly,2959,2017-01-19,16,1860,81,30,354
kermitt2/grobid,2956,2012-09-13,20,60277,2877,681,69311
HelloWorld521/Java,2955,2016-12-08,0,2697,472,176,632
stephanenicolas/robospice,2953,2012-09-19,1,14955,1538,677,4815
sublimehq/Packages,2933,2015-06-13,0,364,14,16,172
AsamK/signal-cli,2932,2015-05-11,85,26243,3356,760,21857
HuanTanSheng/EasyPhotos,2929,2017-10-19,58,12122,1013,289,7238
janishar/android-mvvm-architecture,2928,2017-07-07,0,3077,650,172,1257
googlesamples/android-vision,2927,2015-07-01,0,5812,670,155,315
WeBankFinTech/DataSphereStudio,2916,2019-11-24,11,45005,5925,1908,38945
sockeqwe/AdapterDelegates,2915,2015-07-29,18,2458,415,169,425
jiajunhui/PlayerBase,2910,2017-03-28,18,12609,1513,377,9141
geftimov/android-pathview,2907,2015-01-20,2,814,100,28,195
iwgang/CountdownView,2907,2015-10-12,3,4441,279,97,962
fengjundev/Android-Skin-Loader,2901,2015-07-01,0,3423,389,117,974
javamelody/javamelody,2901,2015-06-21,53,50428,4217,1892,20725
AnyListen/tools-ocr,2893,2019-03-22,5,2898,231,53,756
jenly1314/ZXingLite,2891,2018-08-09,40,932,137,31,928
Pay-Group/best-pay-sdk,2887,2017-03-03,4,2687,397,114,324
liuyangming/ByteTCC,2886,2016-02-12,17,14793,1545,180,8892
udacity/Sunshine-Version-2,2879,2015-03-05,0,1692,207,48,334
OCNYang/Android-Animation-Set,2876,2018-03-23,0,1488,314,88,251
prometheus/jmx_exporter,2876,2014-02-25,24,6110,816,209,1251
javaee/jersey,2875,2012-05-18,30,249042,37034,11288,98938
nic-delhi/AarogyaSetu_Android,2874,2020-05-26,0,3906,465,100,2762
jenkinsci/blueocean-plugin,2873,2016-01-23,54,40062,7091,1755,15860
ManuelPeinado/FadingActionBar,2871,2013-05-25,0,1197,305,88,307
spring-projects/spring-data-jpa,2869,2010-11-11,120,35175,5790,1052,91943
google/binnavi,2861,2015-08-19,3,229006,38662,9614,164161
aserbao/AndroidCamera,2856,2018-05-04,1,33140,2221,676,12208
AweiLoveAndroid/CommonDevKnowledge,2856,2017-12-15,0,882,33,18,4098
MarkerHub/vueblog,2854,2020-05-14,0,386,153,32,25
SpecialCyCi/AndroidResideMenu,2852,2013-12-14,7,701,90,22,707
w446108264/XhsEmoticonsKeyboard,2850,2015-03-06,7,5625,802,216,2198
nanchen2251/RxJava2Examples,2848,2017-06-19,0,3713,492,342,1129
RobotiumTech/robotium,2845,2009-12-10,0,6058,382,94,1249
Teevity/ice,2843,2013-06-14,3,5153,497,110,830
YahooArchive/anthelion,2842,2015-10-27,0,35882,3997,782,5354
jprante/elasticsearch-jdbc,2841,2012-06-02,19,8057,466,156,8861
race604/FlyRefresh,2841,2015-05-28,2,1696,153,42,1167
TGX-Android/Telegram-X,2840,2021-08-17,2,403675,26212,3944,1473528
openaphid/android-flip,2840,2012-05-22,0,3686,391,123,1279
xiaojinzi123/Component,2837,2018-08-13,100,14475,1972,553,22384
saulmm/Android-Material-Examples,2835,2014-10-13,0,809,133,40,125
jiangqqlmj/FastDev4Android,2834,2015-10-22,4,17740,2006,734,10016
donglua/PhotoPicker,2831,2015-06-25,13,2904,321,86,1094
amitshekhariitbhu/awesome-android-complete-reference,2829,2016-06-15,0,64,13,4,16
javahongxi/whatsmars,1946,2016-04-01,19,26085,3011,970,9427
lets-mica/mica,1945,2019-01-23,68,17620,2467,570,48510
liaoinstan/SpringView,1937,2016-03-28,0,6303,785,255,4136
ratpack/ratpack,1937,2013-01-22,69,41471,5956,1501,39204
gre/gl-react-native-v2,1933,2015-08-17,11,1532,114,32,1007
seaswalker/jdk-sourcecode-analysis,1932,2016-11-02,0,907,27,21,216
xwjie/PLMCodeTemplate,1930,2017-04-02,0,2401,281,93,5052
willowtreeapps/Hyperion-Android,1929,2017-05-26,10,8389,1813,542,1567
fanrunqi/MaterialLogin,1928,2016-08-04,0,216,44,17,16
yaphone/itchat4j,1925,2017-04-05,2,2496,171,46,3361
spring-cloud/spring-cloud-config,1923,2014-06-13,14,25687,4177,809,9500
cbeust/jcommander,1921,2010-07-13,0,7196,912,405,11842
elastic/elasticsearch-hadoop,1920,2013-03-11,138,38880,4304,1077,24057
detro/ghostdriver,1918,2012-03-21,9,2509,354,122,460
evant/binding-collection-adapter,1917,2015-05-29,0,3042,476,132,542
psal/anonymouth,1917,2013-06-24,0,31021,1513,681,4360
devopshydclub/vprofile-project,1917,2020-09-24,0,859,146,27,1309
naver/ngrinder,1914,2012-06-19,17,31672,4657,1125,16898
ninjaframework/ninja,1912,2012-06-09,0,27932,3821,857,17399
ZongXR/SuperMarket,1911,2020-08-01,3,1536,477,97,261
dromara/raincat,1911,2017-09-01,0,7315,1426,310,3066
termux/termux-api,1910,2015-07-03,50,10693,860,214,621
LuckPerms/LuckPerms,1906,2016-05-22,0,47527,8746,1693,28199
x-ream/sqli,1906,2020-08-19,9,8868,858,253,7304
GoogleCloudPlatform/community,1905,2016-01-25,0,2580,394,72,372
Cleveroad/AdaptiveTableLayout,1905,2017-02-21,0,4281,348,89,1816
kongzue/DialogX,1904,2020-09-26,207,29312,2450,640,77805
Wizcorp/phonegap-facebook-plugin,1903,2011-05-31,11,38280,2695,869,22360
corona-warn-app/cwa-server,1901,2020-05-02,94,26033,6057,993,17682
qs-lll/ExpandingPager,1898,2016-06-19,0,497,114,36,58
xuxueli/xxl-sso,1898,2018-03-22,2,1956,184,44,345
FormidableLabs/react-native-app-auth,1895,2017-11-13,49,1256,145,32,300
sephiroth74/ImageViewZoom,1894,2012-06-14,0,1792,119,36,2262
ctripcorp/x-pipe,1894,2016-03-29,2,188952,29381,9197,105061
ZhaoKaiQiang/KLog,1894,2015-11-12,0,553,35,13,638
Ramotion/circle-menu-android,1892,2017-09-20,0,878,87,26,372
864381832/xJavaFxTool,1892,2017-08-27,11,1587,227,53,425
jdbi/jdbi,1888,2009-06-17,40,58191,11540,2975,42481
friendlyrobotnyc/TinyDancer,1888,2015-09-11,2,841,128,37,208
apache/tinkerpop,1887,2015-02-07,0,161756,22096,6169,259771
Kaopiz/android-segmented-control,1883,2014-02-06,0,2764,83,23,67
hapifhir/hapi-fhir,1881,2014-06-24,91,478080,61170,10124,370915
parse-community/Parse-SDK-Android,1877,2015-08-12,67,32660,2981,540,43666
kanwangzjm/funiture,1877,2016-03-06,0,7393,1287,267,3546
hitherejoe/Android-Boilerplate,1876,2015-04-03,0,1058,296,69,93
quarkusio/quarkus-quickstarts,1872,2018-12-03,0,8521,2846,747,1529
linger1216/labelview,1872,2015-02-13,3,1098,98,38,308
mcxtzhang/SuspensionIndexBar,1865,2016-09-06,0,1848,251,71,936
670848654/SakuraAnime,1864,2019-06-21,70,19919,2480,558,14118
mathew-kurian/TextJustify-Android,1863,2013-09-13,5,4004,380,168,2766
liyupi/sql-father-backend-public,1861,2022-10-19,0,2410,466,121,93
EssentialsX/Essentials,1861,2015-04-15,21,45888,5198,1063,152882
devzwy/open_nsfw_android,1860,2019-05-14,11,537,26,5,100
i2p/i2p.i2p,1860,2012-05-26,106,274669,16159,4971,197667
NordicSemiconductor/Android-BLE-Library,1858,2017-12-18,60,15689,2062,599,10879
spring2go/staffjoy,1851,2019-07-03,0,8485,2775,360,1238
mattdesl/lwjgl-basics,1850,2012-11-05,0,3255,248,69,4311
romainpiel/Titanic,1845,2014-03-14,0,268,31,10,133
felipecsl/AsymmetricGridView,1844,2014-04-08,0,1568,250,70,164
apache/bookkeeper,1844,2011-04-06,18,255350,24563,6778,192698
binarywang/weixin-java-mp-demo,1843,2016-10-27,0,399,176,43,4
Yalantis/FlipViewPager.Draco,1842,2015-04-10,0,623,59,25,241
alidili/Demos,1840,2017-06-20,0,4281,731,285,737
Ramotion/garland-view-android,1839,2017-08-11,0,1794,271,74,497
lyft/scissors,1838,2015-11-18,0,1525,211,40,262
react-native-community/react-native-template-typescript,1837,2018-03-05,95,267,65,22,35
flavienlaurent/datetimepicker,1836,2013-06-02,0,3306,243,58,593
wangdan/AisenWeiBo,1834,2014-10-10,0,59156,6991,1687,41671
fyhertz/spydroid-ipcamera,1830,2013-01-25,0,9137,640,217,2225
openhab/openhab-addons,1829,2014-05-13,4,791893,92620,23310,443658
asciidocfx/AsciidocFX,1826,2014-05-18,90,18068,2438,433,34435
RichardWarburton/java-8-lambdas-exercises,1824,2014-02-09,0,3486,497,260,873
fabric8io/docker-maven-plugin,1824,2014-03-26,26,30453,2945,629,25906
sucese/android-interview-guide,1823,2018-03-17,0,18,7,4,0
REBOOTERS/AndroidAnimationExercise,1823,2016-08-08,0,39791,4177,1243,18917
googleapis/google-cloud-java,1821,2014-11-04,462,25005135,1224800,171097,36162036
wszf/androrat,1821,2014-02-15,0,8914,722,282,5096
hellokaton/wechat-api,1820,2014-11-06,3,2261,282,75,417
danfickle/openhtmltopdf,1819,2015-11-04,0,53684,4505,1771,79459
JakeWharton/ProcessPhoenix,1819,2015-07-08,0,212,42,14,21
AndroidIDEOfficial/AndroidIDE,1819,2021-07-20,19,463928,40792,10623,447154
goldmansachs/gs-collections,1817,2011-12-23,15,183676,23138,5562,588497
stfalcon-studio/FrescoImageViewer,1816,2016-08-29,0,1804,266,83,608
geometer/FBReaderJ,1815,2010-09-29,0,75101,7196,2744,72760
signalapp/libsignal-protocol-java,1814,2014-12-08,0,4789,617,167,1447
lygttpod/AndroidCustomView,1811,2016-12-09,0,5535,550,178,2432
videlalvaro/gifsockets,1810,2012-09-14,0,1246,16,5,149
redsolution/xabber-android,1810,2013-01-29,28,64855,8334,2052,60492
waylau/netty-4-user-guide-demos,1809,2015-02-11,1,4374,836,273,344
blossom-editor/blossom,1807,2023-08-07,14,13067,2424,576,3030
franmontiel/PersistentCookieJar,1798,2016-02-11,0,552,69,17,44
EsotericSoftware/kryonet,1797,2013-11-06,1,7358,649,288,1272
jcoleman/tomcat-redis-session-manager,1793,2011-08-04,0,1292,106,28,2319
chaychan/TouTiao,1791,2017-07-18,0,7463,872,277,3172
Jstarfish/JavaKeeper,1791,2019-09-03,0,0,0,0,0
notnoop/java-apns,1791,2009-11-14,5,5530,488,156,2684
SuperMonster003/AutoJs6,1790,2021-12-01,15,43573,3972,1206,25154
googlearchive/firebase-jobdispatcher-android,1789,2016-05-18,12,5996,1040,187,1495
alibaba/testable-mock,1789,2020-11-10,0,8411,709,308,4991
macrozheng/mall-tiny,1787,2019-08-10,1,1819,505,97,1164
