name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
newbee-ltd/newbee-mall,10748,2019-09-21,0,3935,448,95,3107
metersphere/metersphere,10723,2020-02-03,206,275337,18268,3875,1504989
square/javapoet,10655,2013-02-01,0,7541,446,114,12855
android-async-http/android-async-http,10644,2011-02-20,3,7620,872,275,7065
jeasonlzy/okhttp-OkGo,10587,2016-01-15,14,13418,2040,586,7020
jhy/jsoup,10548,2009-12-19,13,33365,2119,648,77746
cryptomator/cryptomator,10529,2014-02-02,171,15492,3432,590,7222
xiaojieonly/Ehviewer_CN_SXJ,10510,2020-11-09,79,63685,5750,1417,47088
tbruyelle/RxPermissions,10480,2015-09-29,11,876,93,22,202
google/auto,10342,2013-05-22,65,31550,4675,1930,28337
TooTallNate/Java-WebSocket,10242,2010-01-20,17,14618,997,481,9286
Snoopy1866/LiTiaotiao-Custom-Rules,10199,2023-06-12,31,342,2,3,28
doocs/jvm,10119,2018-06-23,0,5,0,1,0
wasabeef/glide-transformations,9861,2015-01-09,0,991,150,58,75
asLody/VirtualApp,9827,2016-07-06,0,46624,5596,3675,22168
jwtk/jjwt,9767,2014-09-13,6,15895,3068,1099,14271
debezium/debezium,9756,2016-01-22,0,175478,17024,3649,133885
YoKeyword/Fragmentation,9721,2016-02-23,30,8981,1486,485,4293
HarlonWang/AVLoadingIndicatorView,9718,2015-10-24,1,2161,328,164,621
kekingcn/kkFileView,9674,2017-12-12,14,9446,572,86,12018
react-native-camera/react-native-camera,9641,2015-04-01,144,0,0,0,0
hackware1993/MagicIndicator,9632,2016-06-26,12,4533,515,138,2775
perwendel/spark,9592,2011-05-05,0,9588,1004,287,10413
lzyzsd/JsBridge,9583,2015-02-26,0,995,98,33,407
koral--/android-gif-drawable,9497,2013-01-30,60,2946,401,107,3823
lihengming/spring-boot-api-project-seed,9487,2017-06-23,4,484,75,19,146
umano/AndroidSlidingUpPanel,9484,2013-05-31,8,2011,84,23,2244
MyCATApache/Mycat-Server,9461,2014-12-04,7,92939,6320,1671,101328
stanfordnlp/CoreNLP,9407,2013-06-27,15,564894,26021,7218,641272
plantuml/plantuml,9398,2010-11-04,39,184404,25740,5513,136581
apple/pkl,9145,2024-01-19,3,0,0,0,0
crossoverJie/cim,9108,2018-05-20,7,7280,850,226,3343
Justson/AgentWeb,9108,2017-05-12,21,11320,1382,381,4811
android/testing-samples,9095,2014-10-11,0,1809,468,114,268
