number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3415,2016-10-04T10:55:45Z,2016-10-04T13:30:28Z,2016-10-04T13:30:28Z,2,42,1,"This PR closes #3409.
If you specify min, max and stepSize then it should generate the ticks using just these values.",3,0
3417,2016-10-04T15:14:32Z,2016-10-04T18:10:56Z,2016-10-04T18:10:57Z,1,7,4,See #3416,4,2
3421,2016-10-05T00:18:15Z,2016-10-06T12:54:50Z,2016-10-06T12:54:50Z,1,1,1,Fixes #3029,2,0
3443,2016-10-08T00:41:10Z,2016-10-08T11:28:45Z,2016-10-08T11:28:45Z,1,16,13,"I added a private helper to properly merge the colors and simplify the code.
Fixes #3442
After Fix",2,0
3444,2016-10-08T02:14:54Z,2016-10-09T16:34:36Z,2016-10-09T16:34:36Z,1,20,20,,3,0
3446,2016-10-08T17:45:13Z,2016-10-09T16:26:59Z,2016-10-09T16:26:59Z,2,294,242,"Fixes the weird caret position hover issue described in #3061
I took the opportunity to refactor the private methods and make them correctly private. While I was in the alignment function, I properly used the tooltip alignment options if specified rather than using the auto options.",2,1
3449,2016-10-09T09:00:40Z,2016-10-11T11:42:26Z,2016-10-11T11:42:26Z,1,37,6,"Proposal for a new template aiming to reduce the number of incomplete or unwanted issues (such as questions or support requests). Any re-wording suggestions are more than welcome :)
Generated from: https://www.talater.com/open-source-templates",2,1
3450,2016-10-09T20:25:31Z,2016-10-10T12:14:58Z,2016-10-10T12:14:58Z,2,14,59,"Now we simply replace the property even if they are arrays since the array merges are weird.
Fixes #3075",2,0
3453,2016-10-10T01:30:15Z,2016-10-14T21:36:49Z,2016-10-14T21:36:49Z,4,166,84,"Created the concept of tooltip modes. User defined modes are supported by changing Chart.Tooltip.modes map.
The default mode is 'average'. We may consider changing this if we think the old behaviour is really a bug that no one wanted. Currently. this will not change existing charts.
tooltips: {
  positionMode: 'average'
}

Also implemented is the 'nearest' mode which places the tooltip on the element closest to the event that triggered the tooltip. Implementing this required removing some of the optimizations from ChartController#eventHandler. This may not be acceptable so there may need to be some refactoring.
This addresses #2056
CC @chartjs/maintainers",3,4
3460,2016-10-12T01:34:08Z,2016-10-14T11:19:47Z,2016-10-14T11:19:47Z,3,330,9,"Allows the user to customize how the line fills.
A new fillMode property configures this. It defaults to 'zero' which matches the current behaviour. It can also be set to 'top' or 'bottom'.
Top Mode

Bottom Mode

Fixes #3176",2,3
3468,2016-10-14T02:03:30Z,2016-10-14T11:20:08Z,2016-10-14T11:20:08Z,4,119,127,Fixes some minor performance issues I came across while doing profiling. The most notable fixes are the changes to the bar controllers and how rulers are generated to prevent multiple creations of the ruler objects.,2,0
